YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,DataValueUnit,DataValueType,DataValue,StratificationCategory1,Stratification1
2012,2016,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,0.1,Race/Ethnicity,American Indian or Alaska Native
2014,2018,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,11.9,Race/Ethnicity,"Black, non-Hispanic"
2008,2012,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,52.3,Race/Ethnicity,"Black, non-Hispanic"
2010,2014,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,57.3,Race/Ethnicity,"White, non-Hispanic"
2010,2014,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,39.5,Gender,Female
2013,2017,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,21.7,Race/Ethnicity,Hispanic
2010,2014,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,77.2,Gender,Male
2014,2018,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,82.1,Gender,Male
2008,2012,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,40.1,Gender,Female
2012,2016,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,50.6,Gender,Female
2012,2016,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,0.3,Race/Ethnicity,Asian or Pacific Islander
2015,2019,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,16.0,Race/Ethnicity,American Indian or Alaska Native
2009,2013,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,24.2,Race/Ethnicity,Hispanic
2009,2013,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,13.0,Race/Ethnicity,"Black, non-Hispanic"
2012,2016,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,66.6,Overall,Overall
2009,2013,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,59.3,Race/Ethnicity,"White, non-Hispanic"
2014,2018,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,35.7,Gender,Female
2010,2014,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,51.6,Race/Ethnicity,"Black, non-Hispanic"
2015,2019,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,46.4,Overall,Overall
2015,2019,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,16.2,Race/Ethnicity,Asian or Pacific Islander
2013,2017,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,0.3,Race/Ethnicity,Asian or Pacific Islander
2015,2019,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,33.9,Gender,Female
2010,2014,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,16.1,Race/Ethnicity,Hispanic
2008,2012,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,60.7,Race/Ethnicity,"White, non-Hispanic"
2012,2016,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,12.6,Race/Ethnicity,Hispanic
2013,2017,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,36.8,Gender,Female
2011,2015,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,0.1,Race/Ethnicity,American Indian or Alaska Native
2014,2018,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,52.0,Race/Ethnicity,"White, non-Hispanic"
2012,2016,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,47.6,Race/Ethnicity,"Black, non-Hispanic"
2013,2017,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,52.5,Race/Ethnicity,"White, non-Hispanic"
2011,2015,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,0.3,Race/Ethnicity,Asian or Pacific Islander
2009,2013,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,0.3,Race/Ethnicity,Asian or Pacific Islander
2015,2019,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,0.3,Race/Ethnicity,Asian or Pacific Islander
2010,2014,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,23.4,Race/Ethnicity,American Indian or Alaska Native
2011,2015,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,68.0,Overall,Overall
2015,2019,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,62.5,Overall,Overall
2014,2018,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,17.7,Race/Ethnicity,American Indian or Alaska Native
2010,2014,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,92.8,Gender,Male
2010,2014,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,0.1,Race/Ethnicity,American Indian or Alaska Native
2009,2013,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,80.4,Gender,Male
2009,2013,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,0.1,Race/Ethnicity,American Indian or Alaska Native
2009,2013,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,22.9,Race/Ethnicity,American Indian or Alaska Native
2015,2019,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,49.3,Gender,Female
2013,2017,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,12.7,Race/Ethnicity,Hispanic
2012,2016,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,37.7,Gender,Female
2008,2012,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,82.6,Gender,Male
2008,2012,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,14.7,Race/Ethnicity,Hispanic
2012,2016,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,20.6,Race/Ethnicity,American Indian or Alaska Native
2014,2018,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,19.8,Race/Ethnicity,Hispanic
2009,2013,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,52.6,Race/Ethnicity,"Black, non-Hispanic"
2011,2015,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,73.8,Gender,Male
2012,2016,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,12.2,Race/Ethnicity,"Black, non-Hispanic"
2010,2014,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,69.8,Overall,Overall
2010,2014,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,0.3,Race/Ethnicity,Asian or Pacific Islander
2014,2018,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,49.7,Gender,Female
2015,2019,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,8.2,Race/Ethnicity,Hispanic
2013,2017,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,65.1,Overall,Overall
2015,2019,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,79.5,Gender,Male
2013,2017,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,50.4,Overall,Overall
2011,2015,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,55.8,Race/Ethnicity,"White, non-Hispanic"
2014,2018,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,0.1,Race/Ethnicity,American Indian or Alaska Native
2014,2018,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,51.0,Race/Ethnicity,"White, non-Hispanic"
2011,2015,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,55.4,Race/Ethnicity,"White, non-Hispanic"
2011,2015,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,38.2,Gender,Female
2009,2013,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,71.7,Overall,Overall
2011,2015,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,49.7,Race/Ethnicity,"Black, non-Hispanic"
2008,2012,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,99.6,Gender,Male
2013,2017,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,15.5,Race/Ethnicity,Asian or Pacific Islander
2008,2012,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,26.3,Race/Ethnicity,Hispanic
2013,2017,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,50.1,Gender,Female
2008,2012,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,54.5,Gender,Female
2008,2012,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,73.8,Overall,Overall
2008,2012,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,28.8,Race/Ethnicity,Asian or Pacific Islander
2014,2018,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,65.5,Gender,Male
2011,2015,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,89.4,Gender,Male
2009,2013,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,40.3,Gender,Female
2008,2012,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,58.2,Overall,Overall
2013,2017,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,0.1,Race/Ethnicity,American Indian or Alaska Native
2008,2012,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,60.4,Race/Ethnicity,"White, non-Hispanic"
2010,2014,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,23.7,Race/Ethnicity,Asian or Pacific Islander
2013,2017,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,53.1,Race/Ethnicity,"White, non-Hispanic"
2010,2014,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,52.5,Gender,Female
2014,2018,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,43.8,Race/Ethnicity,"Black, non-Hispanic"
2011,2015,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,12.3,Race/Ethnicity,"Black, non-Hispanic"
2015,2019,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,0.1,Race/Ethnicity,American Indian or Alaska Native
2011,2015,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,15.4,Race/Ethnicity,Hispanic
2012,2016,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,54.1,Race/Ethnicity,"White, non-Hispanic"
2009,2013,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,53.7,Gender,Female
2010,2014,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,55.6,Overall,Overall
2015,2019,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,41.6,Race/Ethnicity,"Black, non-Hispanic"
2012,2016,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,51.9,Overall,Overall
2011,2015,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,51.9,Gender,Female
2014,2018,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,63.8,Overall,Overall
2013,2017,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,84.5,Gender,Male
2009,2013,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,95.8,Gender,Male
2012,2016,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,70.9,Gender,Male
2010,2014,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,12.6,Race/Ethnicity,"Black, non-Hispanic"
2012,2016,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,13.9,Race/Ethnicity,Asian or Pacific Islander
2014,2018,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,15.4,Race/Ethnicity,Asian or Pacific Islander
2011,2015,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,21.8,Race/Ethnicity,Hispanic
2013,2017,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,46.3,Race/Ethnicity,"Black, non-Hispanic"
2013,2017,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,68.4,Gender,Male
2009,2013,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,57.3,Overall,Overall
2010,2014,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,21.9,Race/Ethnicity,Hispanic
2009,2013,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,27.1,Race/Ethnicity,Asian or Pacific Islander
2015,2019,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,62.6,Gender,Male
2008,2012,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,0.1,Race/Ethnicity,American Indian or Alaska Native
2011,2015,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,53.5,Overall,Overall
2008,2012,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,22.7,Race/Ethnicity,American Indian or Alaska Native
2015,2019,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,19.8,Race/Ethnicity,Hispanic
2008,2012,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,13.1,Race/Ethnicity,"Black, non-Hispanic"
2012,2016,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,42.9,Race/Ethnicity,"White, non-Hispanic"
2014,2018,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,1.2,Race/Ethnicity,"Black, non-Hispanic"
2015,2019,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,51.4,Race/Ethnicity,American Indian or Alaska Native
2011,2015,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,2.6,Race/Ethnicity,Asian or Pacific Islander
2015,2019,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,49.2,Gender,Female
2013,2017,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,32.0,Race/Ethnicity,Hispanic
2008,2012,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,13.9,Race/Ethnicity,American Indian or Alaska Native
2011,2015,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,44.5,Race/Ethnicity,"White, non-Hispanic"
2013,2017,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,39.2,Race/Ethnicity,"Black, non-Hispanic"
2008,2012,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,45.0,Gender,Female
2015,2019,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,1.2,Race/Ethnicity,"Black, non-Hispanic"
2011,2015,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,52.0,Gender,Female
2015,2019,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,28.4,Race/Ethnicity,"Black, non-Hispanic"
2009,2013,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,13.5,Race/Ethnicity,American Indian or Alaska Native
2011,2015,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,44.8,Race/Ethnicity,"White, non-Hispanic"
2012,2016,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,42.9,Race/Ethnicity,"White, non-Hispanic"
2009,2013,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,72.1,Race/Ethnicity,American Indian or Alaska Native
2014,2018,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,32.8,Race/Ethnicity,Hispanic
2015,2019,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,2.7,Race/Ethnicity,Asian or Pacific Islander
2011,2015,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,46.0,Overall,Overall
2015,2019,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,38.9,Gender,Male
2015,2019,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,38.0,Race/Ethnicity,Hispanic
2013,2017,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,2.9,Race/Ethnicity,Asian or Pacific Islander
2009,2013,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,74.5,Gender,Male
2013,2017,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,39.6,Overall,Overall
2013,2017,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,41.1,Race/Ethnicity,"White, non-Hispanic"
2011,2015,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,12.3,Race/Ethnicity,American Indian or Alaska Native
2011,2015,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,52.9,Gender,Male
2011,2015,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,69.4,Gender,Male
2009,2013,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,44.4,Gender,Female
2015,2019,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,59.4,Gender,Male
2008,2012,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,61.9,Gender,Female
2008,2012,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,61.4,Gender,Male
2009,2013,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,47.5,Race/Ethnicity,"White, non-Hispanic"
2009,2013,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,59.3,Gender,Male
2008,2012,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,28.2,Race/Ethnicity,Asian or Pacific Islander
2008,2012,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,37.5,Race/Ethnicity,Hispanic
2010,2014,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,1.3,Race/Ethnicity,"Black, non-Hispanic"
2010,2014,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,46.1,Race/Ethnicity,"White, non-Hispanic"
2009,2013,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,1.6,Race/Ethnicity,"Black, non-Hispanic"
2015,2019,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,19.8,Race/Ethnicity,Asian or Pacific Islander
2014,2018,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,55.2,Overall,Overall
2013,2017,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,57.1,Overall,Overall
2013,2017,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,12.1,Race/Ethnicity,American Indian or Alaska Native
2008,2012,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,1.6,Race/Ethnicity,"Black, non-Hispanic"
2012,2016,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,50.3,Gender,Female
2010,2014,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,37.2,Race/Ethnicity,Hispanic
2011,2015,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,40.1,Gender,Female
2011,2015,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,1.3,Race/Ethnicity,"Black, non-Hispanic"
2013,2017,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,,Race/Ethnicity,Hispanic
2013,2017,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,48.8,Gender,Female
2012,2016,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,25.9,Race/Ethnicity,Asian or Pacific Islander
2008,2012,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,68.1,Overall,Overall
2012,2016,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,1.3,Race/Ethnicity,"Black, non-Hispanic"
2015,2019,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,34.6,Overall,Overall
2012,2016,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,61.8,Race/Ethnicity,American Indian or Alaska Native
2008,2012,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,52.8,Race/Ethnicity,"Black, non-Hispanic"
2010,2014,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,47.7,Overall,Overall
2008,2012,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,,Race/Ethnicity,Hispanic
2011,2015,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,60.1,Overall,Overall
2015,2019,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,34.0,Race/Ethnicity,"White, non-Hispanic"
2011,2015,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,63.6,Race/Ethnicity,American Indian or Alaska Native
2013,2017,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,56.4,Race/Ethnicity,American Indian or Alaska Native
2012,2016,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,42.7,Race/Ethnicity,"Black, non-Hispanic"
2013,2017,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,34.2,Gender,Female
2008,2012,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,51.0,Race/Ethnicity,"White, non-Hispanic"
2013,2017,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,66.4,Gender,Male
2015,2019,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,30.7,Gender,Female
2012,2016,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,2.8,Race/Ethnicity,Asian or Pacific Islander
2010,2014,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,49.1,Race/Ethnicity,"Black, non-Hispanic"
2008,2012,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,50.4,Race/Ethnicity,"White, non-Hispanic"
2008,2012,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,73.8,Race/Ethnicity,American Indian or Alaska Native
2013,2017,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,45.9,Gender,Male
2010,2014,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,54.8,Gender,Female
2014,2018,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,62.6,Gender,Male
2009,2013,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,32.4,Race/Ethnicity,Asian or Pacific Islander
2010,2014,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,12.7,Race/Ethnicity,American Indian or Alaska Native
2010,2014,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,54.7,Gender,Male
2014,2018,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,2.7,Race/Ethnicity,Asian or Pacific Islander
2012,2016,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,37.9,Gender,Female
2010,2014,AK,Alaska,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,67.2,Race/Ethnicity,American Indian or Alaska Native
2013,2017,AK,Alaska,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,1.4,Race/Ethnicity,"Black, non-Hispanic"
