YearStart,YearEnd,LocationAbbr,LocationDesc,DataValueUnit,DataValueType,DataValue,StratificationCategory1,Stratification1
2018,2018,AK,Alaska,%,Crude Prevalence,,Race/Ethnicity,"Black, non-Hispanic"
2018,2018,AK,Alaska,%,Age-adjusted Prevalence,18.7,Overall,Overall
2016,2016,AK,Alaska,%,Crude Prevalence,,Race/Ethnicity,"Black, non-Hispanic"
2021,2021,AL,Alabama,%,Crude Prevalence,17.2,Overall,Overall
2020,2020,AK,Alaska,%,Crude Prevalence,,Race/Ethnicity,Hispanic
2017,2017,AK,Alaska,%,Age-adjusted Prevalence,,Race/Ethnicity,Hispanic
2012,2012,AK,Alaska,%,Age-adjusted Prevalence,20.0,Overall,Overall
2021,2021,AK,Alaska,%,Age-adjusted Prevalence,17.3,Gender,Male
2011,2011,AK,Alaska,%,Age-adjusted Prevalence,30.5,Race/Ethnicity,"Other, non-Hispanic"
2021,2021,AL,Alabama,%,Age-adjusted Prevalence,23.0,Race/Ethnicity,"Multiracial, non-Hispanic"
2014,2014,AK,Alaska,%,Crude Prevalence,,Race/Ethnicity,"Black, non-Hispanic"
2015,2015,AK,Alaska,%,Age-adjusted Prevalence,28.0,Race/Ethnicity,"Black, non-Hispanic"
2021,2021,AL,Alabama,%,Crude Prevalence,23.0,Race/Ethnicity,"Multiracial, non-Hispanic"
2020,2020,AK,Alaska,%,Age-adjusted Prevalence,18.0,Gender,Male
2017,2017,AK,Alaska,%,Age-adjusted Prevalence,34.1,Race/Ethnicity,"Other, non-Hispanic"
2013,2013,AK,Alaska,%,Age-adjusted Prevalence,33.4,Race/Ethnicity,"Other, non-Hispanic"
2019,2019,AK,Alaska,%,Age-adjusted Prevalence,,Race/Ethnicity,"Black, non-Hispanic"
2021,2021,AL,Alabama,%,Crude Prevalence,15.5,Gender,Female
2015,2015,AK,Alaska,%,Crude Prevalence,19.1,Overall,Overall
2017,2017,AK,Alaska,%,Crude Prevalence,20.9,Overall,Overall
2013,2013,AK,Alaska,%,Crude Prevalence,24.3,Race/Ethnicity,Hispanic
2015,2015,AK,Alaska,%,Age-adjusted Prevalence,25.5,Race/Ethnicity,"Other, non-Hispanic"
2020,2020,AK,Alaska,%,Age-adjusted Prevalence,17.9,Gender,Female
2018,2018,AK,Alaska,%,Age-adjusted Prevalence,20.1,Gender,Male
2016,2016,AK,Alaska,%,Age-adjusted Prevalence,21.1,Gender,Male
2014,2014,AK,Alaska,%,Age-adjusted Prevalence,18.2,Gender,Female
2015,2015,AK,Alaska,%,Crude Prevalence,,Race/Ethnicity,"Black, non-Hispanic"
2017,2017,AK,Alaska,%,Crude Prevalence,,Race/Ethnicity,Hispanic
2021,2021,AL,Alabama,%,Age-adjusted Prevalence,,Race/Ethnicity,Hispanic
2018,2018,AK,Alaska,%,Crude Prevalence,20.8,Gender,Male
2021,2021,AL,Alabama,%,Age-adjusted Prevalence,17.9,Overall,Overall
2015,2015,AK,Alaska,%,Age-adjusted Prevalence,18.4,Overall,Overall
2013,2013,AK,Alaska,%,Crude Prevalence,35.0,Race/Ethnicity,"Multiracial, non-Hispanic"
2021,2021,AL,Alabama,%,Age-adjusted Prevalence,19.6,Gender,Male
2014,2014,AK,Alaska,%,Crude Prevalence,18.4,Gender,Female
2012,2012,AK,Alaska,%,Crude Prevalence,18.8,Gender,Female
2017,2017,AK,Alaska,%,Crude Prevalence,27.4,Race/Ethnicity,"Multiracial, non-Hispanic"
2019,2019,AK,Alaska,%,Age-adjusted Prevalence,18.9,Gender,Male
2020,2020,AK,Alaska,%,Crude Prevalence,30.2,Race/Ethnicity,"Other, non-Hispanic"
2016,2016,AK,Alaska,%,Age-adjusted Prevalence,30.6,Race/Ethnicity,"Other, non-Hispanic"
2014,2014,AK,Alaska,%,Crude Prevalence,28.5,Race/Ethnicity,"Other, non-Hispanic"
2012,2012,AK,Alaska,%,Age-adjusted Prevalence,30.3,Race/Ethnicity,"Other, non-Hispanic"
2013,2013,AK,Alaska,%,Crude Prevalence,34.5,Race/Ethnicity,"Other, non-Hispanic"
2011,2011,AK,Alaska,%,Age-adjusted Prevalence,31.3,Race/Ethnicity,"Multiracial, non-Hispanic"
2013,2013,AK,Alaska,%,Age-adjusted Prevalence,22.4,Gender,Male
2021,2021,AK,Alaska,%,Crude Prevalence,27.5,Race/Ethnicity,"Other, non-Hispanic"
2015,2015,AK,Alaska,%,Age-adjusted Prevalence,18.8,Gender,Male
2011,2011,AR,Arkansas,%,Crude Prevalence,28.9,Gender,Male
2021,2021,AK,Alaska,%,Age-adjusted Prevalence,27.7,Race/Ethnicity,"Multiracial, non-Hispanic"
2013,2013,AK,Alaska,%,Age-adjusted Prevalence,21.7,Gender,Female
2015,2015,AK,Alaska,%,Crude Prevalence,25.7,Race/Ethnicity,"Other, non-Hispanic"
2015,2015,AK,Alaska,%,Age-adjusted Prevalence,18.0,Gender,Female
2020,2020,AK,Alaska,%,Crude Prevalence,18.0,Overall,Overall
2013,2013,AK,Alaska,%,Crude Prevalence,17.7,Race/Ethnicity,"White, non-Hispanic"
2011,2011,AK,Alaska,%,Crude Prevalence,19.3,Race/Ethnicity,"White, non-Hispanic"
2020,2020,AK,Alaska,%,Crude Prevalence,14.6,Race/Ethnicity,"White, non-Hispanic"
2011,2011,AK,Alaska,%,Crude Prevalence,22.8,Race/Ethnicity,Hispanic
2016,2016,AK,Alaska,%,Age-adjusted Prevalence,36.0,Race/Ethnicity,"Multiracial, non-Hispanic"
2021,2021,AK,Alaska,%,Age-adjusted Prevalence,27.3,Race/Ethnicity,"Other, non-Hispanic"
2017,2017,AK,Alaska,%,Age-adjusted Prevalence,16.8,Race/Ethnicity,"White, non-Hispanic"
2016,2016,AK,Alaska,%,Crude Prevalence,19.0,Overall,Overall
2013,2013,AK,Alaska,%,Crude Prevalence,22.9,Gender,Male
2014,2014,AK,Alaska,%,Crude Prevalence,12.2,Race/Ethnicity,Hispanic
2012,2012,AK,Alaska,%,Age-adjusted Prevalence,25.1,Race/Ethnicity,"Multiracial, non-Hispanic"
2018,2018,AK,Alaska,%,Crude Prevalence,14.7,Race/Ethnicity,"White, non-Hispanic"
2015,2015,AK,Alaska,%,Age-adjusted Prevalence,15.4,Race/Ethnicity,"White, non-Hispanic"
2021,2021,AL,Alabama,%,Age-adjusted Prevalence,17.7,Race/Ethnicity,"Black, non-Hispanic"
2021,2021,AK,Alaska,%,Crude Prevalence,12.4,Race/Ethnicity,Hispanic
2021,2021,AK,Alaska,%,Crude Prevalence,17.1,Overall,Overall
2012,2012,AK,Alaska,%,Crude Prevalence,,Race/Ethnicity,"Black, non-Hispanic"
2016,2016,AK,Alaska,%,Crude Prevalence,21.2,Gender,Male
2016,2016,AK,Alaska,%,Age-adjusted Prevalence,18.7,Overall,Overall
2014,2014,AK,Alaska,%,Crude Prevalence,21.3,Gender,Male
2021,2021,AL,Alabama,%,Crude Prevalence,17.2,Race/Ethnicity,"Black, non-Hispanic"
2011,2011,AK,Alaska,%,Age-adjusted Prevalence,,Race/Ethnicity,"Black, non-Hispanic"
2019,2019,AK,Alaska,%,Crude Prevalence,,Race/Ethnicity,Hispanic
2015,2015,AK,Alaska,%,Crude Prevalence,21.1,Race/Ethnicity,Hispanic
2021,2021,AK,Alaska,%,Age-adjusted Prevalence,17.1,Race/Ethnicity,"Black, non-Hispanic"
2020,2020,AK,Alaska,%,Age-adjusted Prevalence,,Race/Ethnicity,"Black, non-Hispanic"
2014,2014,AK,Alaska,%,Age-adjusted Prevalence,20.8,Gender,Male
2017,2017,AK,Alaska,%,Crude Prevalence,,Race/Ethnicity,"Black, non-Hispanic"
2011,2011,AK,Alaska,%,Age-adjusted Prevalence,22.1,Overall,Overall
2021,2021,AK,Alaska,%,Crude Prevalence,28.2,Race/Ethnicity,"Multiracial, non-Hispanic"
2012,2012,AK,Alaska,%,Crude Prevalence,31.3,Race/Ethnicity,"Other, non-Hispanic"
2018,2018,AK,Alaska,%,Crude Prevalence,32.9,Race/Ethnicity,"Other, non-Hispanic"
2016,2016,AK,Alaska,%,Age-adjusted Prevalence,16.2,Gender,Female
2013,2013,AK,Alaska,%,Age-adjusted Prevalence,22.1,Overall,Overall
2011,2011,AK,Alaska,%,Crude Prevalence,22.9,Gender,Male
2011,2011,AK,Alaska,%,Age-adjusted Prevalence,19.5,Race/Ethnicity,Hispanic
2016,2016,AK,Alaska,%,Crude Prevalence,32.3,Race/Ethnicity,"Other, non-Hispanic"
2017,2017,AK,Alaska,%,Age-adjusted Prevalence,20.9,Overall,Overall
2012,2012,AK,Alaska,%,Age-adjusted Prevalence,18.7,Gender,Female
2019,2019,AK,Alaska,%,Crude Prevalence,,Race/Ethnicity,"Black, non-Hispanic"
2021,2021,AK,Alaska,%,Crude Prevalence,17.2,Gender,Male
2021,2021,AK,Alaska,%,Crude Prevalence,,Race/Ethnicity,"Black, non-Hispanic"
2014,2014,AK,Alaska,%,Age-adjusted Prevalence,27.7,Race/Ethnicity,"Other, non-Hispanic"
2019,2019,AK,Alaska,%,Crude Prevalence,24.3,Race/Ethnicity,"Other, non-Hispanic"
2018,2018,AK,Alaska,%,Crude Prevalence,17.3,Gender,Female
2018,2018,AK,Alaska,%,Age-adjusted Prevalence,31.2,Race/Ethnicity,"Other, non-Hispanic"
2015,2015,AK,Alaska,%,Crude Prevalence,32.0,Race/Ethnicity,"Multiracial, non-Hispanic"
2020,2020,AK,Alaska,%,Crude Prevalence,,Race/Ethnicity,"Black, non-Hispanic"
2012,2012,AK,Alaska,%,Age-adjusted Prevalence,18.9,Race/Ethnicity,Hispanic
2013,2013,AK,Alaska,%,Crude Prevalence,22.2,Gender,Female
2019,2019,AK,Alaska,%,Crude Prevalence,15.7,Gender,Female
2015,2015,AK,Alaska,%,Age-adjusted Prevalence,28.0,Race/Ethnicity,"Multiracial, non-Hispanic"
2020,2020,AK,Alaska,%,Age-adjusted Prevalence,14.6,Race/Ethnicity,"White, non-Hispanic"
2017,2017,AK,Alaska,%,Crude Prevalence,17.1,Gender,Female
2017,2017,AK,Alaska,%,Age-adjusted Prevalence,26.5,Race/Ethnicity,"Multiracial, non-Hispanic"
2019,2019,AK,Alaska,%,Age-adjusted Prevalence,14.2,Race/Ethnicity,"White, non-Hispanic"
2013,2013,AK,Alaska,%,Age-adjusted Prevalence,34.8,Race/Ethnicity,"Multiracial, non-Hispanic"
2018,2018,AK,Alaska,%,Crude Prevalence,24.1,Race/Ethnicity,"Multiracial, non-Hispanic"
2021,2021,AK,Alaska,%,Age-adjusted Prevalence,13.6,Race/Ethnicity,"White, non-Hispanic"
2014,2014,AK,Alaska,%,Crude Prevalence,34.2,Race/Ethnicity,"Multiracial, non-Hispanic"
2011,2011,AK,Alaska,%,Age-adjusted Prevalence,22.1,Gender,Male
2021,2021,AL,Alabama,%,Crude Prevalence,,Race/Ethnicity,"Other, non-Hispanic"
2021,2021,AL,Alabama,%,Age-adjusted Prevalence,18.4,Race/Ethnicity,"White, non-Hispanic"
2021,2021,AK,Alaska,%,Age-adjusted Prevalence,17.0,Gender,Female
2019,2019,AK,Alaska,%,Age-adjusted Prevalence,16.1,Gender,Female
2015,2015,AK,Alaska,%,Crude Prevalence,15.8,Race/Ethnicity,"White, non-Hispanic"
2021,2021,AL,Alabama,%,Crude Prevalence,19.1,Gender,Male
2013,2013,AL,Alabama,%,Age-adjusted Prevalence,,Race/Ethnicity,Hispanic
2017,2017,AL,Alabama,%,Age-adjusted Prevalence,21.4,Race/Ethnicity,"Black, non-Hispanic"
2021,2021,AR,Arkansas,%,Age-adjusted Prevalence,21.8,Gender,Male
2018,2018,AL,Alabama,%,Crude Prevalence,18.5,Race/Ethnicity,"Black, non-Hispanic"
2016,2016,AL,Alabama,%,Crude Prevalence,29.3,Race/Ethnicity,"Other, non-Hispanic"
2013,2013,AL,Alabama,%,Crude Prevalence,,Race/Ethnicity,"Multiracial, non-Hispanic"
2012,2012,AL,Alabama,%,Crude Prevalence,22.0,Race/Ethnicity,"Black, non-Hispanic"
2019,2019,AL,Alabama,%,Age-adjusted Prevalence,32.6,Race/Ethnicity,"Multiracial, non-Hispanic"
2019,2019,AK,Alaska,%,Crude Prevalence,32.7,Race/Ethnicity,"Multiracial, non-Hispanic"
2011,2011,AK,Alaska,%,Crude Prevalence,31.7,Race/Ethnicity,"Other, non-Hispanic"
2017,2017,AK,Alaska,%,Crude Prevalence,16.7,Race/Ethnicity,"White, non-Hispanic"
2018,2018,AK,Alaska,%,Age-adjusted Prevalence,14.7,Race/Ethnicity,"White, non-Hispanic"
2016,2016,AK,Alaska,%,Crude Prevalence,16.6,Gender,Female
2020,2020,AK,Alaska,%,Age-adjusted Prevalence,32.0,Race/Ethnicity,"Other, non-Hispanic"
2017,2017,AK,Alaska,%,Crude Prevalence,33.8,Race/Ethnicity,"Other, non-Hispanic"
2011,2011,AK,Alaska,%,Crude Prevalence,23.0,Gender,Female
2017,2017,AK,Alaska,%,Age-adjusted Prevalence,24.1,Gender,Male
2012,2012,AK,Alaska,%,Age-adjusted Prevalence,16.7,Race/Ethnicity,"White, non-Hispanic"
2014,2014,AK,Alaska,%,Age-adjusted Prevalence,12.0,Race/Ethnicity,Hispanic
2020,2020,AK,Alaska,%,Age-adjusted Prevalence,,Race/Ethnicity,Hispanic
2012,2012,AK,Alaska,%,Crude Prevalence,26.6,Race/Ethnicity,"Multiracial, non-Hispanic"
2014,2014,AR,Arkansas,%,Age-adjusted Prevalence,26.1,Race/Ethnicity,"White, non-Hispanic"
2014,2014,AK,Alaska,%,Age-adjusted Prevalence,17.5,Race/Ethnicity,"White, non-Hispanic"
2020,2020,AK,Alaska,%,Age-adjusted Prevalence,18.0,Overall,Overall
2021,2021,AL,Alabama,%,Crude Prevalence,17.9,Race/Ethnicity,"White, non-Hispanic"
2016,2016,AK,Alaska,%,Crude Prevalence,32.1,Race/Ethnicity,"Multiracial, non-Hispanic"
2021,2021,AL,Alabama,%,Crude Prevalence,,Race/Ethnicity,Hispanic
2016,2016,AK,Alaska,%,Age-adjusted Prevalence,15.0,Race/Ethnicity,"White, non-Hispanic"
2021,2021,AK,Alaska,%,Age-adjusted Prevalence,11.6,Race/Ethnicity,Hispanic
2014,2014,AK,Alaska,%,Crude Prevalence,17.6,Race/Ethnicity,"White, non-Hispanic"
2020,2020,AK,Alaska,%,Crude Prevalence,18.1,Gender,Female
2021,2021,AL,Alabama,%,Age-adjusted Prevalence,14.2,Race/Ethnicity,"Other, non-Hispanic"
2016,2016,AK,Alaska,%,Crude Prevalence,15.3,Race/Ethnicity,"White, non-Hispanic"
2018,2018,AK,Alaska,%,Crude Prevalence,19.1,Overall,Overall
2011,2011,AK,Alaska,%,Crude Prevalence,32.9,Race/Ethnicity,"Multiracial, non-Hispanic"
2016,2016,AK,Alaska,%,Age-adjusted Prevalence,16.2,Race/Ethnicity,Hispanic
2019,2019,AK,Alaska,%,Crude Prevalence,14.0,Race/Ethnicity,"White, non-Hispanic"
2012,2012,AK,Alaska,%,Age-adjusted Prevalence,,Race/Ethnicity,"Black, non-Hispanic"
2018,2018,AK,Alaska,%,Age-adjusted Prevalence,,Race/Ethnicity,"Black, non-Hispanic"
2012,2012,AK,Alaska,%,Crude Prevalence,16.9,Race/Ethnicity,"White, non-Hispanic"
2012,2012,AL,Alabama,%,Crude Prevalence,18.1,Race/Ethnicity,Hispanic
2015,2015,AL,Alabama,%,Age-adjusted Prevalence,23.2,Race/Ethnicity,"Other, non-Hispanic"
2019,2019,AL,Alabama,%,Age-adjusted Prevalence,26.9,Race/Ethnicity,Hispanic
2021,2021,AR,Arkansas,%,Crude Prevalence,24.2,Race/Ethnicity,"Multiracial, non-Hispanic"
2017,2017,AL,Alabama,%,Crude Prevalence,22.8,Race/Ethnicity,Hispanic
2021,2021,AR,Arkansas,%,Age-adjusted Prevalence,22.5,Race/Ethnicity,"Black, non-Hispanic"
2017,2017,AL,Alabama,%,Age-adjusted Prevalence,22.1,Race/Ethnicity,"White, non-Hispanic"
2018,2018,AL,Alabama,%,Crude Prevalence,19.2,Overall,Overall
2014,2014,AL,Alabama,%,Crude Prevalence,20.2,Race/Ethnicity,"Black, non-Hispanic"
2017,2017,AL,Alabama,%,Crude Prevalence,21.7,Race/Ethnicity,"Black, non-Hispanic"
2014,2014,AL,Alabama,%,Crude Prevalence,18.3,Race/Ethnicity,"Other, non-Hispanic"
2013,2013,AL,Alabama,%,Age-adjusted Prevalence,,Race/Ethnicity,"Multiracial, non-Hispanic"
2016,2016,AL,Alabama,%,Age-adjusted Prevalence,22.4,Overall,Overall
2016,2016,AL,Alabama,%,Crude Prevalence,18.1,Race/Ethnicity,"Black, non-Hispanic"
2011,2011,AL,Alabama,%,Age-adjusted Prevalence,24.6,Overall,Overall
2021,2021,AR,Arkansas,%,Crude Prevalence,20.9,Gender,Female
2011,2011,AL,Alabama,%,Age-adjusted Prevalence,33.6,Race/Ethnicity,"Other, non-Hispanic"
2014,2014,AL,Alabama,%,Crude Prevalence,21.9,Race/Ethnicity,"White, non-Hispanic"
2012,2012,AL,Alabama,%,Age-adjusted Prevalence,27.9,Race/Ethnicity,"Other, non-Hispanic"
2014,2014,AL,Alabama,%,Age-adjusted Prevalence,20.2,Race/Ethnicity,"Black, non-Hispanic"
2016,2016,AL,Alabama,%,Age-adjusted Prevalence,18.4,Race/Ethnicity,"Black, non-Hispanic"
2021,2021,AR,Arkansas,%,Age-adjusted Prevalence,22.0,Gender,Female
2016,2016,AL,Alabama,%,Age-adjusted Prevalence,36.1,Race/Ethnicity,"Multiracial, non-Hispanic"
2014,2014,AL,Alabama,%,Age-adjusted Prevalence,,Race/Ethnicity,"Multiracial, non-Hispanic"
2011,2011,AL,Alabama,%,Age-adjusted Prevalence,20.0,Race/Ethnicity,"Black, non-Hispanic"
2017,2017,AL,Alabama,%,Age-adjusted Prevalence,33.5,Race/Ethnicity,"Multiracial, non-Hispanic"
2019,2019,AL,Alabama,%,Age-adjusted Prevalence,25.7,Race/Ethnicity,"Other, non-Hispanic"
2018,2018,AL,Alabama,%,Age-adjusted Prevalence,34.3,Race/Ethnicity,"Other, non-Hispanic"
2021,2021,AR,Arkansas,%,Age-adjusted Prevalence,9.0,Race/Ethnicity,Hispanic
2018,2018,AL,Alabama,%,Age-adjusted Prevalence,18.5,Race/Ethnicity,"Black, non-Hispanic"
2017,2017,AL,Alabama,%,Crude Prevalence,18.7,Gender,Female
2014,2014,AL,Alabama,%,Crude Prevalence,23.5,Gender,Male
2011,2011,AL,Alabama,%,Age-adjusted Prevalence,27.8,Gender,Male
2020,2020,AL,Alabama,%,Crude Prevalence,18.1,Race/Ethnicity,"Black, non-Hispanic"
2013,2013,AL,Alabama,%,Age-adjusted Prevalence,25.4,Gender,Male
2015,2015,AL,Alabama,%,Age-adjusted Prevalence,24.4,Gender,Male
2020,2020,AL,Alabama,%,Age-adjusted Prevalence,19.5,Overall,Overall
2020,2020,AK,Alaska,%,Crude Prevalence,21.7,Race/Ethnicity,"Multiracial, non-Hispanic"
2018,2018,AK,Alaska,%,Age-adjusted Prevalence,14.8,Race/Ethnicity,Hispanic
2014,2014,AK,Alaska,%,Age-adjusted Prevalence,,Race/Ethnicity,"Black, non-Hispanic"
2015,2015,AK,Alaska,%,Crude Prevalence,18.5,Gender,Female
2020,2020,AK,Alaska,%,Crude Prevalence,17.9,Gender,Male
2021,2021,AK,Alaska,%,Crude Prevalence,16.9,Gender,Female
2012,2012,AK,Alaska,%,Crude Prevalence,20.5,Overall,Overall
2019,2019,AK,Alaska,%,Age-adjusted Prevalence,29.7,Race/Ethnicity,"Multiracial, non-Hispanic"
2013,2013,AK,Alaska,%,Age-adjusted Prevalence,17.5,Race/Ethnicity,"White, non-Hispanic"
2016,2016,AK,Alaska,%,Age-adjusted Prevalence,,Race/Ethnicity,"Black, non-Hispanic"
2012,2012,AL,Alabama,%,Crude Prevalence,26.5,Race/Ethnicity,"Other, non-Hispanic"
2014,2014,AL,Alabama,%,Crude Prevalence,,Race/Ethnicity,Hispanic
2020,2020,AL,Alabama,%,Crude Prevalence,22.2,Race/Ethnicity,Hispanic
2015,2015,AL,Alabama,%,Age-adjusted Prevalence,33.1,Race/Ethnicity,"Multiracial, non-Hispanic"
2020,2020,AL,Alabama,%,Age-adjusted Prevalence,21.7,Gender,Male
2016,2016,AL,Alabama,%,Crude Prevalence,,Race/Ethnicity,Hispanic
2012,2012,AL,Alabama,%,Age-adjusted Prevalence,21.4,Race/Ethnicity,"Black, non-Hispanic"
2019,2019,AL,Alabama,%,Age-adjusted Prevalence,21.5,Race/Ethnicity,"White, non-Hispanic"
2015,2015,AL,Alabama,%,Age-adjusted Prevalence,22.1,Overall,Overall
2013,2013,AL,Alabama,%,Age-adjusted Prevalence,22.1,Overall,Overall
2017,2017,AL,Alabama,%,Age-adjusted Prevalence,25.1,Race/Ethnicity,"Other, non-Hispanic"
2015,2015,AL,Alabama,%,Crude Prevalence,35.3,Race/Ethnicity,"Multiracial, non-Hispanic"
2012,2012,AL,Alabama,%,Crude Prevalence,24.2,Race/Ethnicity,"White, non-Hispanic"
2011,2011,AL,Alabama,%,Age-adjusted Prevalence,27.6,Race/Ethnicity,Hispanic
2015,2015,AL,Alabama,%,Age-adjusted Prevalence,15.9,Race/Ethnicity,Hispanic
2020,2020,AL,Alabama,%,Age-adjusted Prevalence,17.4,Gender,Female
2018,2018,AL,Alabama,%,Crude Prevalence,,Race/Ethnicity,Hispanic
2021,2021,AR,Arkansas,%,Crude Prevalence,21.1,Overall,Overall
2015,2015,AL,Alabama,%,Crude Prevalence,23.8,Gender,Male
2019,2019,AL,Alabama,%,Age-adjusted Prevalence,20.4,Race/Ethnicity,"Black, non-Hispanic"
2011,2011,AL,Alabama,%,Crude Prevalence,28.0,Gender,Male
2013,2013,AL,Alabama,%,Crude Prevalence,25.1,Gender,Male
2017,2017,AL,Alabama,%,Crude Prevalence,20.9,Overall,Overall
2020,2020,AL,Alabama,%,Crude Prevalence,36.6,Race/Ethnicity,"Multiracial, non-Hispanic"
2014,2014,AL,Alabama,%,Age-adjusted Prevalence,21.7,Overall,Overall
2019,2019,AL,Alabama,%,Crude Prevalence,20.2,Overall,Overall
2021,2021,AR,Arkansas,%,Age-adjusted Prevalence,28.5,Race/Ethnicity,"Multiracial, non-Hispanic"
2018,2018,AL,Alabama,%,Age-adjusted Prevalence,20.0,Overall,Overall
2011,2011,AL,Alabama,%,Crude Prevalence,24.3,Overall,Overall
2011,2011,AL,Alabama,%,Crude Prevalence,21.0,Gender,Female
2013,2013,AL,Alabama,%,Age-adjusted Prevalence,16.7,Race/Ethnicity,"Other, non-Hispanic"
2013,2013,AL,Alabama,%,Crude Prevalence,18.2,Gender,Female
2016,2016,AL,Alabama,%,Crude Prevalence,21.5,Overall,Overall
2015,2015,AL,Alabama,%,Crude Prevalence,21.4,Overall,Overall
2011,2011,AL,Alabama,%,Age-adjusted Prevalence,31.5,Race/Ethnicity,"Multiracial, non-Hispanic"
2013,2013,AL,Alabama,%,Crude Prevalence,21.5,Overall,Overall
2019,2019,AL,Alabama,%,Crude Prevalence,20.4,Race/Ethnicity,"Black, non-Hispanic"
2020,2020,AL,Alabama,%,Crude Prevalence,18.5,Overall,Overall
2018,2018,AL,Alabama,%,Age-adjusted Prevalence,18.0,Gender,Female
2015,2015,AL,Alabama,%,Age-adjusted Prevalence,19.6,Race/Ethnicity,"Black, non-Hispanic"
2021,2021,AR,Arkansas,%,Crude Prevalence,22.8,Race/Ethnicity,"Black, non-Hispanic"
2016,2016,AL,Alabama,%,Age-adjusted Prevalence,,Race/Ethnicity,Hispanic
2014,2014,AL,Alabama,%,Age-adjusted Prevalence,,Race/Ethnicity,Hispanic
2019,2019,AL,Alabama,%,Crude Prevalence,20.4,Race/Ethnicity,Hispanic
2017,2017,AL,Alabama,%,Age-adjusted Prevalence,19.8,Race/Ethnicity,Hispanic
2017,2017,AL,Alabama,%,Crude Prevalence,25.2,Race/Ethnicity,"Other, non-Hispanic"
2020,2020,AL,Alabama,%,Age-adjusted Prevalence,24.8,Race/Ethnicity,"Other, non-Hispanic"
2017,2017,AL,Alabama,%,Crude Prevalence,23.4,Gender,Male
